ID NurPenBatch SowID Nur2ADG_Adj Nur2ADG
0054 1B_D09 1B_1784 0.494555294117647 0.588235294117647
0055 1B_D09 1B_1980 0.372224235294118 0.470588235294118
0056 1B_D09 1B_2149 0.229849411764706 0.323529411764706
0578 2B_D4 2B_SOGE-17568B 0.383804689655172 0.598620689655172
0579 2B_B10 2B_SOGE-17568B 0.293459862068966 0.508275862068965
0580 2B_D12 2B_SOGE-10787A 0.367942620689655 0.582758620689655
0581 2B_D10 2B_SOGE-10784A 0.387942620689655 0.602758620689655
0582 2B_D3 2B_SOGE-17665B 0.316218482758621 0.531034482758621
0583 2B_D1 2B_SOGE-17732B 0.307799034482759 0.517931034482759
0584 2B_B5 2B_SOGE-13067B 0.502425379310345 0.717241379310345
0585 2B_D3 2B_SOGE-10908A 0.306419724137931 0.516551724137931
0586 2B_D1 2B_SOGE-16975B 0.403661103448276 0.613793103448276
0587 2B_D9 2B_SOGE-9888A 0.337597793103448 0.552413793103448
0588 2B_D3 2B_SOGE-17732B 0.163661103448276 0.373793103448276
0589 2B_B8 2B_SOGE-13067B 0.444163310344828 0.521379310344828
0590 2B_D4 2B_SOGE-17674B 0.487942620689655 0.702758620689655
0591 2B_B3 2B_SOGE-10890A 0.317454206896552 0.527586206896552
0592 2B_D4 2B_SOGE-16975B 0.540902482758621 0.751034482758621
0593 2B_D1 2B_SOGE-12605A 0.442281793103448 0.652413793103448
0594 2B_B5 2B_SOGE-12613A 0.296764551724138 0.506896551724138
0595 2B_B10 2B_SOGE-12605A 0.409178344827586 0.619310344827586
0596 2B_D9 2B_SOGE-14450C 0.363115034482759 0.577931034482759
0597 2B_D12 2B_SOGE-13176B 0.323115034482759 0.537931034482759
0598 2B_B10 2B_SOGE-13067B 0.317597793103448 0.532413793103448
0599 2B_D10 2B_SOGE-14519C 0.211390896551724 0.426206896551724
0600 2B_D4 2B_SOGE-13297B 0.260902482758621 0.471034482758621
0601 2B_D9 2B_SOGE-13176B 0.316908137931035 0.531724137931034
0602 2B_D10 2B_SOGE-13067B 0.508632275862069 0.723448275862069
0603 2B_D12 2B_SOGE-17667B 0.281046068965517 0.495862068965517
0604 2B_D12 2B_SOGE-17667B 0.452080551724138 0.666896551724138
0605 2B_D12 2B_SOGE-17667B 0.121735724137931 0.336551724137931
0606 2B_D3 2B_SOGE-12613A 0.351936965517241 0.562068965517241
0607 2B_D1 2B_SOGE-17665B 0.466563310344828 0.681379310344828
0608 2B_B10 2B_SOGE-13176B 0.432080551724138 0.646896551724138
0609 2B_D1 2B_SOGE-13176B 0.322425379310345 0.537241379310345
0610 2B_B3 2B_SOGE-12185A 0.484019724137931 0.556551724137931
0611 2B_B10 2B_SOGE-12613A 0.0540059310344827 0.264137931034483
0612 2B_B8 2B_SOGE-9888A 0.269321931034483 0.484137931034483
0613 2B_B5 2B_SOGE-13185A 0.386419724137931 0.596551724137931
0614 2B_B5 2B_SOGE-17674B 0.390011586206897 0.604827586206896
0615 2B_B3 2B_SOGE-14450C 0.156908137931034 0.371724137931034
0616 2B_D3 2B_SOGE-14450C 0.374508137931035 0.451724137931034
0617 2B_D9 2B_SOGE-10787A 0.327252965517241 0.542068965517241
0618 2B_D4 2B_SOGE-11871A 0.541592137931034 0.751724137931035
0619 2B_D10 2B_SOGE-12605A 0.318143862068965 0.528275862068965
0620 2B_B10 2B_SOGE-17667B 0.211390896551724 0.426206896551724
0621 2B_D1 2B_SOGE-10787A 0.200356413793103 0.415172413793103
0622 2B_B8 2B_SOGE-9888A 0.33966675862069 0.55448275862069
0623 2B_D10 2B_SOGE-10908A 0.330557655172414 0.540689655172414
0624 2B_D9 2B_SOGE-16975B 0.540571448275862 0.613103448275862
0625 2B_B8 2B_SOGE-10787A 0.512770206896552 0.727586206896552
0626 2B_B8 2B_SOGE-14519C 0.301735724137931 0.516551724137931
0627 2B_D12 2B_SOGE-17568B 0.666921931034483 0.744137931034483
0628 2B_D1 2B_SOGE-14519C 0.357597793103448 0.572413793103448
